class;score_variable;correlation;class
Doench_A375;sgDesigner_socre;0.387447209;ML
Hart_HCT116;sgDesigner_socre;0.362692596;ML
Labuhn_HEL;sgDesigner_socre;0.169570404;ML
Chen_HEK293T;sgDesigner_socre;0.403372863;ML
Xiang_HEK293T;sgDesigner_socre;0.690378291;ML
Koike_Mouse;sgDesigner_socre;0.339711545;ML
Doench_A375;Deepspcas9_score;0.461397733;DL
Hart_HCT116;Deepspcas9_score;0.455377037;DL
Labuhn_HEL;Deepspcas9_score;0.259710199;DL
Chen_HEK293T;Deepspcas9_score;0.474979621;DL
Xiang_HEK293T;Deepspcas9_score;0.726030865;DL
Koike_Mouse;Deepspcas9_score;0.411036962;DL
Doench_A375;DeepHF_score;0.413781593;DL
Hart_HCT116;DeepHF_score;0.439577558;DL
Labuhn_HEL;DeepHF_score;0.229213665;DL
Chen_HEK293T;DeepHF_score;0.461052878;DL
Xiang_HEK293T;DeepHF_score;0.753435332;DL
Koike_Mouse;DeepHF_score;0.405664141;DL
Doench_A375;CRISPRon_score;0.48341309;DL
Hart_HCT116;CRISPRon_score;0.481415394;DL
Labuhn_HEL;CRISPRon_score;0.257638362;DL
Chen_HEK293T;CRISPRon_score;0.503769208;DL
Xiang_HEK293T;CRISPRon_score;0.876523933;DL
Koike_Mouse;CRISPRon_score;0.410529144;DL
Doench_A375;CRISPRdict_score;0.380520243;ML
Hart_HCT116;CRISPRdict_score;0.37133806;ML
Labuhn_HEL;CRISPRdict_score;0.219970072;ML
Chen_HEK293T;CRISPRdict_score;0.410391463;ML
Xiang_HEK293T;CRISPRdict_score;0.626104925;ML
Koike_Mouse;CRISPRdict_score;0.354057637;ML
Doench_A375;Baseline;0.081645101;
Hart_HCT116;Baseline;0.11102768;
Labuhn_HEL;Baseline;0.014734439;
Chen_HEK293T;Baseline;0.041389671;
Xiang_HEK293T;Baseline;0.117842434;
Koike_Mouse;Baseline;-0.000481804;
Doench_A375;Azimuth_score;0.538141557;ML
Hart_HCT116;Azimuth_score;0.372501146;ML
Labuhn_HEL;Azimuth_score;0.215082584;ML
Chen_HEK293T;Azimuth_score;0.376273345;ML
Xiang_HEK293T;Azimuth_score;0.561913999;ML
Koike_Mouse;Azimuth_score;0.40000551;ML
